id	node1	label	node2
t1	terminator2_jd	name	'Terminator 2'@en
t2	terminator2_jd	instance_of	film
t3	terminator2_jd	genre	science_fiction
t4	terminator2_jd	genre	action
t5	terminator2_jd	cast	a_schwarzenegger
t6	terminator2_jd	cast	l_hamilton
t7	terminator2_jd	crew	g_rydstrom
t8	terminator2_jd	crew	g_borders
t9	terminator2_jd	award	academy-best-sound-editing
t10	terminator2_jd	publication_date	^1991-07-03T00:00:00Z/11
t11	terminator2_jd	publication_date	^1995-07-01T00:00:00Z/11
t12	film	subclass_of	visual_artwork
t13	s_connor	name	'Sarah Connor'@en
t14	terminator	name	'Terminator'@en
